,HB106,JC003,HB101,JC066,5470.12,JC149,5297.02,JC032,HB105,HB612,JC133,JC006,JC082,JC115,JC116,JC119,6459.07,JC138,5368.03,5175.08,5679.08,6432.09,6578.01,6765.01,JC074,JC022,JC055,JC094,HB609,HB202,HB103,JC109,HB603,JC093,JC103,HB602,HB407,JC057,JC009,JC072,HB201,HB304,JC084,JC110,JC095,HB203,JC018,JC105,JC034,JC081
HB603,1.0321,3.4068,1.1311,2.138,3.24,3.0404,3.5454,3.1183,0.9869,1.0452,6.7565,2.8863,2.9752,3.2102,3.3338,5.2933,2.3015,7.4724,3.3226,4.1919,3.5549,4.3036,2.4603,2.7069,2.9295,2.2477,4.0376,4.1524,0.9766,0.8407,1.0016,3.4777,0.0,4.3207,3.1978,0.333,1.0043,1.3432,2.4513,3.8324,0.6228,0.8251,4.7794,3.8538,4.5094,0.96,2.9083,1.9837,2.25,2.903
JC093,3.8202,2.5305,3.689,3.2233,5.2323,3.0366,4.8076,2.2118,3.6881,3.6727,3.0254,2.903,2.4917,2.5322,3.3365,1.6973,6.5866,3.5096,4.8116,5.5148,6.4768,8.4565,6.7758,7.0175,2.2077,2.1068,0.368,0.2166,3.8493,5.0257,3.9273,0.8642,4.3207,0.0,1.1898,4.2548,3.3434,3.1349,2.3444,3.1826,4.8955,3.6727,1.342,2.2005,0.405,4.9875,1.4684,2.3554,2.074,1.818
JC103,2.8424,2.3689,2.7244,2.5256,4.6469,2.6755,4.3735,1.9199,2.6881,2.6853,4.0954,2.4881,2.1257,2.2781,3.0548,2.6522,5.491,4.6534,4.316,5.129,5.7403,7.4248,5.6578,5.8706,1.8071,0.951,1.0219,0.9916,2.8612,3.8638,2.9484,0.3379,3.1978,1.1898,0.0,3.1715,2.2622,1.958,1.6798,3.109,3.749,2.5052,2.1751,2.3013,1.4911,3.8128,0.2905,1.3202,1.0234,1.3291
HB602,0.7328,3.1614,0.8474,1.8587,2.9125,2.7629,3.2126,2.902,0.7243,0.7765,6.5826,2.6188,2.7386,2.9663,3.0402,5.1333,2.3318,7.3158,2.9896,3.8599,3.2836,4.2638,2.5335,2.8375,2.7205,2.2338,3.9542,4.0976,0.6767,1.1151,0.6872,3.4311,0.333,4.2548,3.1715,0.0,0.9133,1.4384,2.2581,3.5509,0.8676,0.995,4.6243,3.6298,4.4165,1.2678,2.8862,1.8996,2.1832,2.7408
HB407,0.7489,2.524,0.7035,1.4248,3.1279,2.2648,3.2154,2.1824,0.5696,0.6062,5.7621,2.0805,2.0815,2.3279,2.6162,4.2938,3.2439,6.4709,3.0398,3.9461,3.8357,5.1641,3.4357,3.708,1.985,1.335,3.0479,3.1846,0.7363,1.8042,0.8307,2.5179,1.0043,3.3434,2.2622,0.9133,0.0,0.7794,1.4928,3.0492,1.6179,0.7393,3.7787,2.9216,3.5148,1.8531,1.979,0.9902,1.2704,1.9095
JC057,1.5189,2.9563,1.4826,2.0873,3.9056,2.8297,3.9646,2.542,1.3424,1.3833,5.8391,2.6273,2.5223,2.7708,3.2127,4.3548,3.6291,6.4857,3.7998,4.7058,4.5877,5.6467,3.7567,3.9296,2.3395,1.0338,2.9014,2.9458,1.4992,1.9131,1.5908,2.2711,1.3432,3.1349,1.958,1.4384,0.7794,0.0,1.8596,3.5769,1.8217,0.5576,3.8382,3.2523,3.3848,1.8548,1.6705,1.0435,1.1913,2.1058
JC009,1.6367,1.0973,1.4968,0.8848,2.9767,1.098,2.7005,0.6969,1.559,1.5214,4.3262,0.8892,0.671,0.9154,1.5019,2.8904,4.4996,5.0709,2.6364,3.4612,4.1444,6.2222,4.7469,5.0891,0.4955,1.3112,1.9856,2.2595,1.6804,3.2809,1.7362,1.7431,2.4513,2.3444,1.6798,2.2581,1.4928,1.8596,0.0,1.7552,3.074,2.158,2.3914,1.4326,2.3727,3.3444,1.5242,0.8769,0.9549,0.5467
JC072,2.819,0.7417,2.7054,1.6945,2.5311,0.7934,1.8776,1.2063,2.8455,2.7873,3.7323,0.9688,1.0903,0.8674,0.5629,2.6706,5.4172,4.5659,1.9937,2.4555,3.9656,6.746,5.7299,6.1728,1.3654,3.0372,2.8421,3.2171,2.8749,4.6635,2.8775,3.0069,3.8324,3.1826,3.109,3.5509,3.0492,3.5769,1.7552,0.0,4.4184,3.7802,2.3769,0.9975,2.9769,4.7895,3.0673,2.632,2.6822,1.8122
HB201,1.5997,4.0188,1.7146,2.7262,3.5734,3.6304,3.9712,3.739,1.5848,1.6397,7.3771,3.4847,3.5904,3.8227,3.9052,5.9114,1.8399,8.0888,3.7336,4.5647,3.6505,3.9039,1.9381,2.1227,3.5512,2.7996,4.6246,4.7199,1.5437,0.2635,1.5475,4.0425,0.6228,4.8955,3.749,0.8676,1.6179,1.8217,3.074,4.4184,0.0,1.2647,5.3965,4.4732,5.1006,0.4869,3.4586,2.582,2.8371,3.5233
HB304,1.3161,3.2272,1.3321,2.1631,3.7332,3.0,3.8973,2.8549,1.1669,1.223,6.305,2.812,2.7843,3.0333,3.355,4.8224,3.0811,6.9748,3.7057,4.6073,4.2571,5.1133,3.2012,3.3731,2.653,1.5659,3.4248,3.4883,1.2787,1.3592,1.3556,2.8113,0.8251,3.6727,2.5052,0.995,0.7393,0.5576,2.158,3.7802,1.2647,0.0,4.3041,3.5879,3.9068,1.3177,2.2159,1.4579,1.6657,2.4979
JC084,4.0281,1.9551,3.8882,3.1163,4.7899,2.5678,4.2178,1.8878,3.9449,3.91,2.0019,2.5218,2.1578,2.0604,2.7286,0.5183,6.8909,2.6933,4.2908,4.8319,6.1676,8.5742,7.1351,7.4619,2.0067,2.8459,1.2241,1.5142,4.0715,5.5769,4.1274,1.8605,4.7794,1.342,2.1751,4.6243,3.7787,3.8382,2.3914,2.3769,5.3965,4.3041,0.0,1.4306,0.9531,5.5973,2.3679,2.8489,2.6487,1.8836
JC110,2.9435,0.5573,2.8087,1.8799,3.3625,1.1692,2.7904,0.7394,2.908,2.86,3.0757,1.1699,0.902,0.7136,1.298,1.8041,5.7545,3.8783,2.8602,3.4259,4.7537,7.2969,6.0332,6.4189,0.9375,2.4811,1.8728,2.252,2.9948,4.6915,3.0287,2.1354,3.8538,2.2005,2.3013,3.6298,2.9216,3.2523,1.4326,0.9975,4.4732,3.5879,1.4306,0.0,1.9802,4.7678,2.3279,2.2155,2.1575,1.1824
JC095,3.9289,2.3771,3.7934,3.2272,5.1581,2.9278,4.6852,2.1205,3.8099,3.7884,2.6422,2.8172,2.4083,2.4091,3.192,1.2924,6.7429,3.1638,4.7104,5.3682,6.45,8.5643,6.9487,7.2156,2.1535,2.351,0.4835,0.6067,3.9626,5.2461,4.0349,1.1534,4.5094,0.405,1.4911,4.4165,3.5148,3.3848,2.3727,2.9769,5.1006,3.9068,0.9531,1.9802,0.0,5.2245,1.7488,2.5263,2.2635,1.8277
HB203,1.9907,4.3426,2.0911,3.096,4.0568,3.9968,4.4386,4.0287,1.9447,2.0037,7.5931,3.8383,3.9056,4.1455,4.2938,6.1152,2.0509,8.2788,4.2043,5.044,4.1216,4.1274,2.0666,2.1254,3.8339,2.8814,4.7425,4.8003,1.9349,0.2562,1.9538,4.1246,0.96,4.9875,3.8128,1.2678,1.8531,1.8548,3.3444,4.7895,0.4869,1.3177,5.5973,4.7678,5.2245,0.0,3.5253,2.7504,2.9768,3.7523
JC018,2.5769,2.3262,2.4625,2.3336,4.4593,2.5704,4.224,1.8625,2.4188,2.4187,4.3209,2.3738,2.0376,2.2143,2.9614,2.8604,5.2028,4.9018,4.1522,4.9854,5.5142,7.143,5.3679,5.5802,1.7251,0.6608,1.2699,1.2756,2.5935,3.5742,2.6822,0.6049,2.9083,1.4684,0.2905,2.8862,1.979,1.6705,1.5242,3.0673,3.4586,2.2159,2.3679,2.3279,1.7488,3.5253,0.0,1.0569,0.7636,1.257
JC105,1.5223,1.9609,1.406,1.4235,3.5116,1.9474,3.3817,1.5225,1.3686,1.3651,4.8484,1.7369,1.5462,1.7868,2.3496,3.3672,4.2314,5.5286,3.2704,4.1476,4.4844,6.1218,4.4259,4.6905,1.3234,0.5356,2.0577,2.2017,1.5411,2.7432,1.6283,1.5446,1.9837,2.3554,1.3202,1.8996,0.9902,1.0435,0.8769,2.632,2.582,1.4579,2.8489,2.2155,2.5263,2.7504,1.0569,0.0,0.2969,1.0626
JC034,1.819,1.9761,1.7017,1.6382,3.7516,2.0527,3.5802,1.5152,1.6655,1.662,4.6504,1.8435,1.5934,1.8185,2.4568,3.1661,4.5143,5.3097,3.4836,4.3466,4.7609,6.4156,4.702,4.9538,1.3287,0.3572,1.7884,1.9144,1.838,2.9859,1.925,1.2516,2.25,2.074,1.0234,2.1832,1.2704,1.1913,0.9549,2.6822,2.8371,1.6657,2.6487,2.1575,2.2635,2.9768,0.7636,0.2969,0.0,0.9756
JC081,2.1597,1.0731,2.0204,1.4078,3.4397,1.3516,3.0863,0.6061,2.0663,2.0343,3.8538,1.1732,0.7969,0.9577,1.7259,2.3933,5.0181,4.5754,3.055,3.8298,4.6589,6.7652,5.2551,5.5783,0.4781,1.3009,1.4541,1.7503,2.2002,3.7137,2.2621,1.3077,2.903,1.818,1.3291,2.7408,1.9095,2.1058,0.5467,1.8122,3.5233,2.4979,1.8836,1.1824,1.8277,3.7523,1.257,1.0626,0.9756,0.0
